"hour","slut","rape","whore"
"0","0","0","0"
"1","0","0","0"
"2","0","0","0"
"3","0","0","0"
"4","1","1","0"
"5","1","0","0"
"6","1","1","1"
"7","3","2","2"
"8","5","4","8"
"9","9","20","7"
"10","9","12","8"
"11","23","16","17"
"12","17","30","4"
"13","31","19","15"
"14","16","18","15"
"15","20","13","11"
"16","14","12","14"
"17","17","13","17"
"18","17","28","15"
"19","15","16","14"
"20","10","11","13"
"21","7","15","11"
"22","21","18","9"
"23","27","8","13"
"24","23","18","15"
"25","10","4","7"
"26","18","15","5"
"27","11","16","4"
"28","11","28","7"
"29","17","11","12"
"30","23","14","10"
"31","11","11","7"
"32","28","22","11"
"33","2","0","1"
